threshold,precision,recall
16.0,1.0,0.05
15.0,1.0,0.1
14.0,0.6666666666666666,0.1
13.0,0.8571428571428571,0.3
12.0,0.8888888888888888,0.4
11.0,0.9,0.45
10.0,0.9090909090909091,0.5
9.0,0.9166666666666666,0.55
8.0,0.9230769230769231,0.6
7.0,0.8666666666666667,0.65
6.0,0.65,0.65
5.0,0.5517241379310345,0.8
4.0,0.5161290322580645,0.8
3.0,0.5,0.85
2.0,0.4857142857142857,0.85
1.0,0.5263157894736842,1.0
0.0,0.5,1.0







,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0
0.5,0.20833333333333334,0.35714285714285715,0.3125,0.625,0.7142857142857143,0.7500000000000001,0.7812499999999999,0.8088235294117646,0.8333333333333334,0.8125,0.6500000000000001,0.588235294117647,0.5555555555555555,0.5448717948717949,0.5312500000000001,0.5813953488372092,0.5555555555555556
1.0,0.09523809523809523,0.18181818181818182,0.1739130434782609,0.4444444444444444,0.5517241379310346,0.6,0.6451612903225806,0.6874999999999999,0.7272727272727274,0.7428571428571429,0.65,0.6530612244897959,0.6274509803921569,0.6296296296296295,0.6181818181818183,0.6896551724137931,0.6666666666666666
2.0,0.0617283950617284,0.12195121951219513,0.12048192771084337,0.3448275862068966,0.44943820224719105,0.5000000000000001,0.5494505494505494,0.5978260869565216,0.6451612903225806,0.6842105263157895,0.6500000000000001,0.7339449541284404,0.7207207207207208,0.7456140350877193,0.7391304347826088,0.847457627118644,0.8333333333333334
3.0,0.055248618784530384,0.10989010989010989,0.1092896174863388,0.320855614973262,0.4232804232804233,0.47368421052631593,0.5235602094240838,0.5729166666666665,0.6217616580310881,0.6666666666666666,0.65,0.7655502392344498,0.7582938388625593,0.7943925233644861,0.7906976744186048,0.9174311926605504,0.9090909090909091
