threshold,precision,recall
9.0,0.0,0.0
8.0,0.5,0.05
7.0,0.7777777777777778,0.35
6.0,0.625,0.5
5.0,0.5882352941176471,0.5
4.0,0.55,0.55
3.0,0.5238095238095238,0.55
2.0,0.48148148148148145,0.65
1.0,0.5333333333333333,0.8
0.0,0.5,1.0







,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0
0.5,0.0,0.17857142857142858,0.625,0.5952380952380952,0.5681818181818182,0.55,0.5288461538461539,0.5078125,0.5714285714285714,0.5555555555555556
1.0,0.0,0.09090909090909091,0.48275862068965514,0.5555555555555556,0.5405405405405405,0.55,0.5365853658536585,0.553191489361702,0.64,0.6666666666666666
2.0,0.0,0.06097560975609757,0.3932584269662921,0.5208333333333334,0.5154639175257733,0.55,0.5445544554455446,0.6074766355140186,0.7272727272727272,0.8333333333333334
3.0,0.0,0.054945054945054944,0.37037037037037035,0.5102040816326531,0.5076142131979696,0.55,0.5472636815920399,0.6280193236714975,0.761904761904762,0.9090909090909091
